"Inventar-Nr","Status","Hersteller","Modell","Kurzbezeichnung","Objekttyp","Farbe","Seriennummer","Kaufdatum","Einkaufspreis","Gerätefoto","Standort","Bereich","Unterkategorie","Zuständige Person","Vorbesitzer","Zustandshinweis"
"0303","Verfügbar","Gravity","LS 431 B - Square Steel Base",,"Lichtstativ","Schwarz",,"13.06.2022",,"IMG_7394.JPG","Studio","[""Medientechnik""]","[""Video"",""Licht""]",,,
"0536","Verfügbar","Stihl","0536",,,,,,,"processed-DFBFB44A-EE7B-4642-B5F1-AC9100A9F948-6B39A39C-E28C-4B5E-8F7C-039205771C26.jpeg","Werkzeugcontainer ","[""Handwerk""]",,"Alex Alberg | EF-Köln",,
"0537","Verfügbar","Stihl","HS 45 Heckenschere",,,,,,,"processed-1A4B98A0-A9D7-4D35-94DC-43E70F291C7C-530BEFB9-549D-4D09-B947-AF6EB7FB09C6.jpeg","Werkzeugcontainer ","[""Handwerk""]",,"Alex Alberg | EF-Köln",,
"0538","Verfügbar","Herkules HSE 3500 Stromerzeuger","HSE 3500",,,,,,,"processed-0A89361A-0E6F-4C80-AD26-9AD97430CEEF-D0FA9A16-DB18-4861-A8AE-3A552584D73B.jpeg","Werkzeugcontainer ","[""Handwerk""]",,"Alex Alberg | EF-Köln",,
"0539","Verfügbar","Einhell","Stromerzeuger",,,,,,,"processed-5679BE9E-5CC6-47D1-BE1A-E3C167B55439-15CDA953-5A64-44E0-912F-CE6FBE59DBBA.jpeg","Werkzeugcontainer ","[""Handwerk""]",,"Alex Alberg | EF-Köln",,
"0542","Verfügbar","Hilti","Baulaser",,,,,,,"processed-C706CE9F-AFB9-4DA3-A971-5C7639BF233C-CC926E38-F3CA-4F81-A6CE-F975685E49F8.jpeg","Werkzeugcontainer","[""Handwerk""]",,"Alex Alberg | EF-Köln",,
"0543","Verfügbar",,"Stativ Baulaser",,,,,,,"processed-1063F9C1-5F9F-430D-8CFB-C6DAA2D16415-1E9B1262-B3A6-497F-BC6A-FB87557D3DE6.jpeg","Werkzeugcontainer","[""Handwerk""]",,"Alex Alberg | EF-Köln",,
"0544","Verfügbar","Bosch","Akku Bohr und Stemmhammer",,,,,,,"processed-E496DA68-166B-4D95-927F-11E105108BB4-27889CE1-8F1F-4770-86E8-922E874E303C.jpeg","Werkzeugcontainer","[""Handwerk""]",,"Alex Alberg | EF-Köln",,
"0311","Verfügbar","Blackmagic Design","Mini Converter SDI to HDMI 6G","SDI to HDMI Converter","Converter SDI to HDMI","Grau","4683647","15.11.2022","125,00","IMG_0692.jpg",,"[""Medientechnik""]","[""Video""]",,,"wurde gebraucht gekauft"
"0314","Verfügbar","Panasonic","PT-EZ590",,"Projektor ","Weiß","DC1550023","20.04.2023","499,00","IMG_3190.jpg","Technik-Lager","[""Medientechnik""]","[""GFX""]","Sascha Siemens | EF-Köln",,"5.400 Lumen
Kratzer auf dem Objektiv"
"0320","Verfügbar","Decimator Design","MD-Cross V2","Cross Converter SDI/HDMI","Converter Video","Rot","CPC02771",,,"IMG_3278.jpg","Videoregie","[""Medientechnik""]","[""Video""]",,,
"0325","Verfügbar","Blackmagic Design","ATEM Mini Pro","ATEM Mini Pro","Video-Mixer","Schwarz","7600424",,,"IMG_3283.jpg",,"[""Medientechnik""]","[""Video""]",,,"Zubehör:
- Netzteil
- USB-A auf USB-C Kabel"
"0329","Verfügbar",,"DD0014",,"USB-C Adapter","Grau",,"01.07.2023","26,39","IMG_4555.jpg","beim Technik-MBP 14""","[""Medientechnik""]","[""GFX""]",,,
"0328","Verfügbar",,"X7S8H1H00-SW-SW",,,"Schwarz",,"11.09.2023","651,60","IMG_4553.jpg","Techniklager","[""Medientechnik""]","[""Video"",""Audio"",""Licht"",""GFX""]",,,
"0327","Verfügbar","AJA","HELO",,"Streaming Encoder","Grau","1HE012702","20.04.2023","300,00","IMG_4549.jpg","Techniklager","[""Medientechnik""]","[""Video""]",,,
"0331","Verfügbar","Tamron","17-28mm F2.8 Di III RXD",,"Objektiv","Schwarz","051365",,,"IMG_4579.jpg","Techniklager","[""Medientechnik""]","[""Video""]",,,
